NAME,RTG,TEAM,GP,TGT,REC,TGT/G,YDS,100+ YDS,YDS/REC,TD,LONG,FUM,FUML
"Le'Veon Bell",86,"NYJ","15","78","66","5.2","461",0,"7","1","23","1","1"
"David Johnson",76,"ARI","13","47","36","3.6","370",0,"10.3","4","31","1","1"
"Todd Gurley",85,"LAR","15","49","31","3.3","207",0,"6.7","2","23","3","2"
"Ezekiel Elliott",94,"DAL","16","71","54","4.4","420",0,"7.8","2","27","3","2"
"Devonta Freeman",83,"ATL","14","70","59","5","410",0,"6.9","4","28","3","2"
"Melvin Gordon",85,"LAC","12","55","42","4.6","296",0,"7","1","25","4","3"
"LeSean McCoy",79,"KC","13","34","28","2.6","181",0,"6.5","1","23","3","2"
"Kareem Hunt",90,"CLE","8","44","37","5.5","285",0,"7.7","1","29","1",0
"Alvin Kamara",90,"NO","14","97","81","6.9","533",0,"6.6","1","41","4","1"
"Phillip Lindsay",87,"DEN","16","48","35","3","196",0,"5.6",0,"36",0,0
"Dion Lewis",79,"TEN","16","32","25","2","164",0,"6.6","1","24","1","1"
"Leonard Fournette",85,"JAX","15","100","76","6.7","522",0,"6.9",0,"27","1","1"
"Christian McCaffrey",97,"CAR","16","142","116","8.9","1,005","2","8.7","4","28","1",0
"Mark Ingram",87,"BAL","15","29","26","1.9","247",0,"9.5","5","25","2","2"
"Jay Ajayi",86,"PHI","3","1",0,"0.3",0,0,0,0,0,0,0
"Derrick Henry",90,"TEN","15","24","18","1.6","206",0,"11.4","2","75","5","3"
"Tevin Coleman",85,"SF","14","30","21","2.1","180",0,"8.6","1","37",0,0
"Dalvin Cook",88,"MIN","14","63","53","4.5","519",0,"9.8",0,"31","4","2"
"Jordan Howard",78,"PHI","10","14","10","1.4","69",0,"6.9","1","20",0,0
"Marshawn Lynch",85,"SEA","1",0,0,0,0,0,0,0,0,0,0
"Adrian Peterson",75,"WAS","15","23","17","1.5","142",0,"8.4",0,"22","3","2"
"Giovani Bernard",77,"CIN","16","43","30","2.7","234",0,"7.8",0,"35","2","1"
"Duke Johnson",81,"HOU","16","62","44","3.9","410",0,"9.3","3","21","1","1"
"Tarik Cohen",80,"CHI","16","104","79","6.5","456",0,"5.8","3","31","3",0
"James White",84,"NE","15","95","72","6.3","645",0,"9","5","59","1","1"
"Darren Sproles",76,"PHI","6","10","6","1.7","24",0,"4",0,"7","1",0
"Carlos Hyde",77,"HOU","16","16","10","1","42",0,"4.2",0,"14","4","2"
"Saquon Barkley",90,"NYG","13","73","52","5.6","438",0,"8.4","2","65","1",0
"Latavius Murray",82,"NO","16","43","34","2.7","235",0,"6.9","1","30",0,0
"Kenyan Drake",83,"ARI","14","68","50","4.9","345",0,"6.9",0,"26","2","1"
"Ameer Abdullah",67,"MIN","16","21","15","1.3","88",0,"5.9","1","16","1","1"
"Austin Ekeler",87,"LAC","16","108","92","6.8","993","3","10.8","8","84","3","2"
"Joe Mixon",86,"CIN","16","45","35","2.8","287",0,"8.2","3","33",0,0
"Ty Montgomery",72,"NYJ","16","17","13","1.1","90",0,"6.9",0,"21",0,0
