NAME,RTG,TEAM,GP,COMP,ATT,ATT/G,YDS,300+ YDS,COMP%,YDS/ATT,YDS/COMP,TD,INT,QBR,LONG,SACKS,SACK YDS,FUML
Travis Kelce,99,KC,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1
Delanie Walker,85,TEN,7,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Greg Olsen,87,CAR,14,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Zach Ertz,91,PHI,15,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1
Tyler Eifert,78,CIN,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Hunter Henry,87,LAC,12,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1
Jimmy Graham,78,GB,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Kyle Rudolph,87,MIN,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Evan Engram,90,NYG,8,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Jack Doyle,84,IND,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Jared Cook,85,NO,14,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Trey Burton,82,CHI,8,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Charles Clay,74,ARI,15,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Eric Ebron,85,IND,11,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Vernon Davis,77,WAS,4,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Jason Witten,79,DAL,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1
Cameron Brate,80,TB,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Marcedes Lewis,80,GB,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Josh Hill,81,NO,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
David Njoku,79,CLE,4,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Austin Hooper,89,ATL,13,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Benjamin Watson,82,NE,10,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
OJ Howard,83,TB,14,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1
Tyler Kroft,75,BUF,10,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Vance McDonald,81,PIT,14,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Lance Kendricks,76,LAC,12,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Hayden Hurst,81,BAL,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
George Kittle,98,SF,14,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
