NAME,RTG,TEAM,GP,COMP,ATT,ATT/G,YDS,300+ YDS,COMP%,YDS/ATT,YDS/COMP,TD,INT,QBR,LONG,SACKS,SACK YDS,FUML
Diontae Spencer,68,DEN,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1
Greg Ward,68,PHI,6,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
D'Haquille Williams,,BUF,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Antonio Brown,99,NE,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Odell Beckham Jr,91,CLE,16,1,2,0.1,20,0,50%,10,20,0,0,9.9,20,0,0,1
DeAndre Hopkins,98,HOU,15,1,2,0.1,6,0,50%,3,6,1,1,8.2,6,0,0,0
Julio Jones,99,ATL,15,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Davante Adams,97,GB,12,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1
Keenan Allen,92,LAC,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Michael Thomas,96,NO,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Tyreek Hill,96,KC,12,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Mike Evans,89,TB,13,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Adam Thielen,89,MIN,10,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
TY Hilton,85,IND,10,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Stefon Diggs,90,MIN,15,0,1,0.1,0,0,0%,0,0,0,0,2.5,0,0,0,3
Julian Edelman,87,NE,16,2,2,0.1,47,0,100%,23.5,23.5,1,0,17.3,32,0,0,1
Emmanuel Sanders,90,SF,17,1,1,0.1,35,0,100%,35,35,1,0,9.3,35,0,0,0
Brandin Cooks,88,LAR,13,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
JuJu Smith-Schuster,89,PIT,12,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1
Alshon Jeffery,82,PHI,10,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Marvin Jones,88,DET,13,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Robert Woods,85,LAR,14,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
DeSean Jackson,83,PHI,3,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Amari Cooper,91,DAL,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Golden Tate,80,NYG,11,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1
Tyler Lockett,88,SEA,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Cooper Kupp,84,LAR,15,0,1,0.1,0,0,0%,0,0,0,0,2.6,0,0,0,0
Marquise Goodwin,76,SF,9,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Larry Fitzgerald,86,ARI,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1
Josh Gordon,76,SEA,11,0,1,0.1,0,0,0%,0,0,0,1,0,0,0,0,0
Allen Robinson,91,CHI,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Kenny Golladay,88,DET,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1
Cole Beasley,83,BUF,15,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Tyler Boyd,81,CIN,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,2
Mike Williams,84,LAC,15,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Sterling Shepard,80,NYG,10,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Taylor Gabriel,80,CHI,9,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Chris Godwin,89,TB,14,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Randall Cobb,75,DAL,15,0,1,0.1,0,0,0%,0,0,0,0,2.5,0,0,0,1
Kenny Stills,81,HOU,13,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Jarvis Landry,86,CLE,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Devin Funchess,80,IND,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Michael Crabtree,81,ARI,2,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Ted Ginn,75,NO,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Tyrell Williams,80,OAK,14,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Corey Davis,81,TEN,15,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Nelson Agholor,79,PHI,11,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1
Quincy Enunwa,79,NYJ,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1
Sammy Watkins,79,KC,14,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1
Robby Anderson,82,NYJ,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Dante Pettis,79,SF,11,1,1,0.1,16,0,100%,16,16,0,0,7.4,16,0,0,0
Devante Parker,86,MIA,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Will Fuller,81,HOU,11,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Mohamed Sanu,81,NE,15,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Demaryius Thomas,76,NYJ,11,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Ryan Grant,69,GB,2,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Chris Hogan,79,CAR,7,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Willie Snead,77,BAL,15,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Danny Amendola,79,DET,15,1,1,0.1,19,0,100%,19,19,1,0,9.9,19,0,0,0
Paul Richardson,75,WAS,10,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Dede Westbrook,78,JAX,15,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
David Moore,76,SEA,14,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1
Marqise Lee,79,JAX,6,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Ishmael Hyman,77,TB,2,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Albert Wilson,76,MIA,13,1,2,0.2,20,0,50%,10,20,0,0,5.3,20,1,10,0
Curtis Samuel,81,CAR,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Jamison Crowder,83,NYJ,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Jeff Smith,63,NYJ,1,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Donte Moncrief,77,CAR,8,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Taywan Taylor,74,CLE,3,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
Anthony Miller,78,CHI,16,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1
Tajae Sharpe,78,TEN,15,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0
