"Rank","Player","Team","Points","Games","Avg"
"1","Harrison Butker","KC","166.0","16","10.4"
"2","Wil Lutz","NO","163.0","16","10.2"
"3","Justin Tucker","BAL","153.0","16","9.6"
"4","Matt Gay","TB","145.0","16","9.1"
"5","Zane Gonzalez","ARI","136.0","16","8.5"
"6","Josh Lambo","JAC","134.0","16","8.4"
"7","Matt Prater","DET","133.0","16","8.3"
"8","Dan Bailey","MIN","132.0","16","8.3"
"9","Brandon McManus","DEN","131.0","16","8.2"
"10","Joey Slye","CAR","130.0","16","8.1"
"11","Greg Zuerlein","DAL","129.0","16","8.1"
"12","Chris Boswell","PIT","126.0","16","7.9"
"13","Randy Bullock","CIN","117.0","16","7.3"
"13","Jason Myers","SEA","117.0","16","7.3"
"15","Austin Seibert","CLE","116.0","16","7.3"
"15","Robbie Gould","SF","116.0","13","8.9"
"17","Jason Sanders","MIA","115.1","16","7.2"
"18","Mason Crosby","GB","115.0","16","7.2"
"19","Ka'imi Fairbairn","HOU","110.0","16","6.9"
"20","Jake Elliott","PHI","109.0","16","6.8"
"21","Dustin Hopkins","WAS","108.0","16","6.8"
"22","Stephen Hauschka","FA","107.0","16","6.7"
"23","Brett Maher","FA","105.0","13","8.1"
"24","Eddy Pineiro","CHI","103.0","16","6.4"
"25","Daniel Carlson","LV","97.0","16","6.1"
"26","Sam Ficken","NYJ","93.0","15","6.2"
"26","Younghoe Koo","ATL","93.0","8","11.6"
"28","Chase McLaughlin","IND","91.0","11","8.3"
"29","Adam Vinatieri","FA","80.0","12","6.7"
"30","Aldrick Rosas","FA","72.0","16","4.5"
"31","Michael Badgley","LAC","64.0","9","7.1"
"32","Nick Folk","NE","60.0","7","8.6"
"33","Kai Forbath","FA","53.0","5","10.6"
"34","Matt Bryant","FA","48.0","8","6.0"
"35","Ty Long","LAC","36.0","16","2.3"
"36","Stephen Gostkowski","TEN","33.0","4","8.3"
"37","Mike Nugent","FA","30.0","5","6.0"
"38","Cairo Santos","CHI","28.0","5","5.6"
"39","Ryan Succop","TB","27.0","7","3.9"
"40","Cody Parkey","FA","18.0","4","4.5"
"41","Greg Joseph","FA","9.0","3","3.0"
"42","Kaare Vedvik","CAR","0.0","1","0.0"
"42","Graham Gano","NYG","0.0","1","0.0"
"42","Matt McCrane","FA","0.0","1","0.0"
"42","Giorgio Tavecchio","FA","0.0","1","0.0"
"42","Sebastian Janikowski","FA","0.0","1","0.0"
"42","Caleb Sturgis","FA","0.0","1","0.0"
"42","Ryan Santoso","FA","0.0","3","0.0"
""
""
