Rank,Player,Team,Points,Games,Avg
1,Lamar Jackson,BAL,421.68,15,28.11
2,Dak Prescott,DAL,348.78,16,21.8
3,Jameis Winston,NO,335.36,16,20.96
4,Russell Wilson,SEA,333.6,16,20.85
5,Deshaun Watson,HOU,331.98,15,22.13
6,Josh Allen,BUF,297.56,16,18.6
7,Kyler Murray,ARI,297.28,16,18.58
8,Patrick Mahomes,KC,292.04,14,20.86
9,Carson Wentz,PHI,282.86,16,17.68
10,Aaron Rodgers,GB,282.38,16,17.65
11,Matt Ryan,ATL,281.34,15,18.76
12,Tom Brady,TB,271.68,16,16.98
13,Jared Goff,LAR,263.52,16,16.47
14,Jimmy Garoppolo,SF,260.32,16,16.27
15,Philip Rivers,IND,255.5,16,15.97
16,Ryan Fitzpatrick,MIA,254.46,15,16.96
17,Derek Carr,LV,252.36,16,15.77
18,Kirk Cousins,MIN,250.42,15,16.69
19,Baker Mayfield,CLE,250.18,16,15.64
20,Gardner Minshew II,JAC,235.24,14,16.8
21,Ryan Tannehill,TEN,230.18,12,19.18
22,Drew Brees,NO,228.76,11,20.8
23,Daniel Jones,NYG,226.98,13,17.46
24,Jacoby Brissett,IND,222.68,15,14.85
25,Andy Dalton,DAL,216.66,13,16.67
26,Mitch Trubisky,CHI,212.82,15,14.19
27,Sam Darnold,NYJ,202.16,13,15.55
28,Kyle Allen,WAS,193.48,14,13.82
29,Matthew Stafford,DET,171.56,8,21.45
30,Mason Rudolph,PIT,117.8,10,11.78
31,Case Keenum,CLE,108.48,10,10.85
32,Teddy Bridgewater,CAR,92.46,10,9.25
33,Joe Flacco,NYJ,89.88,8,11.24
34,Marcus Mariota,LV,87.02,7,12.43
35,Dwayne Haskins,WAS,83.7,9,9.3
36,Taysom Hill,NO,83.2,16,5.2
37,Drew Lock,DEN,71,5,14.2
38,Jeff Driskel,DEN,61.1,4,15.28
39,David Blough,DET,60.36,5,12.07
40,Eli Manning,FA,59.38,4,14.85
41,Devlin Hodges,PIT,59.32,8,7.42
42,Matt Moore,KC,42.26,6,7.04
43,Nick Foles,CHI,39.74,4,9.94
44,Brandon Allen,CIN,34.5,3,11.5
45,Matt Schaub,ATL,33.9,7,4.84
46,Chase Daniel,DET,28,4,7
47,Ryan Finley,CIN,26.66,3,8.89
48,Brian Hoyer,NE,25.08,5,5.02
49,Josh Rosen,FA,22.98,6,3.83
50,Robert Griffin,BAL,18,7,2.57
51,AJ McCarron,HOU,17.9,3,5.97
52,Cam Newton,NE,17.68,2,8.84
53,Ben Roethlisberger,PIT,13.74,2,6.87
54,Luke Falk,FA,11.64,3,3.88
55,Matt Barkley,BUF,8.96,3,2.99
56,Brett Hundley,ARI,6.06,3,2.02
57,Tyrod Taylor,LAC,6.02,8,0.75
58,Will Grier,CAR,5.32,2,2.66
59,Colt McCoy,NYG,5.28,2,2.64
60,Mike Glennon,JAC,4.24,3,1.41
61,Josh McCown,FA,0.76,3,0.25
62,Ryan Griffin,TB,0.62,2,0.31
63,Sean Mannion,MIN,0.54,3,0.18
64,Trevor Siemian,TEN,0.12,1,0.12
65,Trace McSorley,BAL,0.1,1,0.1
66,Alex Tanney,NYG,0.04,1,0.04
67,Joe Webb,FA,0,1,0
67,Brandon Weeden,FA,0,1,0
67,James Franklin,FA,0,1,0
67,Brock Osweiler,FA,0,1,0
67,Drew Anderson,FA,0,1,0
67,Nate Sudfeld,PHI,0,1,0
67,Alex Smith,WAS,0,1,0
67,Mark Sanchez,FA,0,1,0
67,Chad Henne,KC,0,1,0
67,David Fales,NYJ,0,2,0
67,Taylor Heinicke,FA,0,1,0
67,Andrew Luck,FA,0,1,0
67,CJ Beathard,SF,0,1,0
67,Sam Bradford,FA,0,1,0
67,Matt Cassel,FA,0,1,0
67,Cooper Rush,NYG,0,2,0
67,Chad Kelly,IND,0,1,0
67,Joshua Dobbs,JAC,0,1,0
85,Tim Boyle,GB,-0.1,3,-0.03
86,Nick Mullens,SF,-0.3,2,-0.15
87,Garrett Gilbert,CLE,-0.3,6,-0.05
88,Jarrett Stidham,NE,-0.64,3,-0.21
89,Blake Bortles,FA,-0.78,4,-0.2
