Rank,Player,Team,Points,Games,Avg
1,Christian McCaffrey,CAR,355.2,16,22.2
2,Derrick Henry,TEN,276.6,15,18.4
3,Aaron Jones,GB,265.8,16,16.6
4,Ezekiel Elliott,DAL,257.7,16,16.1
5,Dalvin Cook,MIN,239.4,14,17.1
6,Nick Chubb,CLE,219.2,16,13.7
7,Austin Ekeler,LAC,217,16,13.6
8,Mark Ingram ,BAL,216.5,15,14.4
9,Chris Carson,SEA,195.6,15,13
10,Saquon Barkley,NYG,192.1,13,14.8
11,Joe Mixon,CIN,190.4,16,11.9
12,Todd Gurley,ATL,188.4,15,12.6
13,Leonard Fournette,TB,183.4,15,12.2
14,Josh Jacobs,LV,171.6,13,13.2
15,Miles Sanders,PHI,168.7,16,10.5
16,Alvin Kamara,NO,167.5,14,12
17,Marlon Mack,IND,167.3,14,12
18,Kenyan Drake,ARI,164.2,14,11.7
19,Phillip Lindsay,DEN,162.7,16,10.2
20,Raheem Mostert,SF,151.2,16,9.5
21,Le'Veon Bell,NYJ,149,15,9.9
22,David Montgomery,CHI,145.4,16,9.1
23,Carlos Hyde,SEA,143.2,16,9
24,Sony Michel,NE,140.6,16,8.8
25,Melvin Gordon,DEN,138.8,12,11.6
26,Devonta Freeman,FA,138.6,14,9.9
27,Ronald Jones II,TB,135.3,16,8.5
28,Adrian Peterson,FA,130,16,8.1
29,James White,NE,128.2,15,8.6
30,Latavius Murray,NO,123.2,16,7.7
31,Devin Singletary,BUF,118.9,12,9.9
32,Tevin Coleman,SF,114.4,14,8.2
33,James Conner,PIT,111.5,10,11.2
34,Damien Williams,KC,111.1,11,10.1
35,Duke Johnson,HOU,110,16,6.9
36,Jamaal Williams,GB,107.3,14,7.7
37,David Johnson,HOU,105.5,13,8.1
38,Jordan Howard,MIA,101.4,10,10.1
39,Peyton Barber,WAS,100.5,16,6.3
40,Royce Freeman,DEN,99.2,16,6.2
41,LeSean McCoy,TB,90.6,13,7
42,DeAndre Washington,KC,85.9,16,5.4
43,Gus Edwards,BAL,85.6,16,5.4
44,Tarik Cohen,CHI,84.9,16,5.3
45,Matt Breida,MIA,84.3,13,6.5
46,Frank Gore,NYJ,81.9,16,5.1
47,Kerryon Johnson,DET,75,8,9.4
48,Tony Pollard,DAL,74.2,15,5
49,Rex Burkhead,NE,74.1,13,5.7
50,Nyheim Hines,IND,73.9,16,4.6
51,Boston Scott,PHI,72.9,11,6.6
52,Chase Edmonds,ARI,70.8,13,5.5
53,Rashaad Penny,SEA,67.3,10,6.7
54,Kareem Hunt,CLE,64.4,9,7.2
55,Jaylen Samuels,PIT,58.4,14,4.2
55,Alexander Mattison,MIN,58.4,13,4.5
57,Brian Hill,ATL,57.2,12,4.8
58,Malcolm Brown,LAR,57.1,14,4.1
59,Benny Snell Jr.,PIT,54.9,13,4.2
60,Darrel Williams,KC,52.8,9,5.9
61,Chris Thompson,JAC,51.6,11,4.7
62,Derrius Guice,FA,50.4,5,10.1
63,J.D. McKissic,WAS,49.8,16,3.1
64,Mike Boone,MIN,47,16,2.9
64,Jordan Wilkins,IND,47,14,3.4
66,Jalen Richard,LV,46.8,16,2.9
67,Patrick Laird,MIA,45.2,15,3
68,Jeff Wilson,SF,43.9,11,4
69,Bo Scarbrough,DET,42.2,6,7
70,Brandon Bolden,NE,41.9,15,2.8
71,Justice Hill,BAL,41.5,16,2.6
72,Dion Lewis,NYG,41.3,16,2.6
73,Dare Ogunbowale,FA,40.3,16,2.5
74,Giovani Bernard,CIN,38.4,16,2.4
75,Kalen Ballage,MIA,37.8,12,3.2
76,Wayne Gallman,NYG,37.2,10,3.7
77,Ryquell Armstead,JAC,37.2,16,2.3
78,Ty Johnson,DET,36.2,16,2.3
79,Jonathan Williams,DET,35.4,5,7.1
80,Kyle Juszczyk,SF,30.6,12,2.6
81,Qadree Ollison,ATL,29.7,8,3.7
82,Mark Walton,FA,27,7,3.9
83,Bilal Powell,FA,26.2,14,1.9
84,Dontrell Hilliard,CLE,26.1,14,1.9
85,Ito Smith,ATL,25.3,7,3.6
86,Myles Gaskin,MIA,24.4,7,3.5
87,Ameer Abdullah,MIN,24.3,16,1.5
88,Reggie Bonnafon,CAR,23.3,16,1.5
89,Darwin Thompson,KC,23.1,12,1.9
90,Justin Jackson,LAC,22.2,7,3.2
91,CJ Ham,MIN,20.6,16,1.3
92,Ty Montgomery,NO,19.3,16,1.2
93,C.J. Prosise,FA,18.8,9,2.1
94,Darrell Henderson,LAR,18.4,13,1.4
95,Travis Homer,SEA,17,16,1.1
96,T.J. Yeldon,BUF,16.7,6,2.8
97,Wendell Smallwood,PIT,14.5,15,1
98,Wes Hills,DET,14.2,1,14.2
99,Trey Edmunds,PIT,14,9,1.6
100,Kerrith Whyte Jr.,PIT,13.1,6,2.2
101,Alec Ingold,LV,12.1,16,0.8
102,Darren Sproles,FA,11,6,1.8
103,Javorius Allen,FA,10.5,11,1
104,Andy Janovich,CLE,10.3,8,1.3
105,Derek Watt,PIT,10.2,16,0.6
106,Dan Vitale,NE,10,15,0.7
107,Marshawn Lynch,FA,9.4,2,4.7
108,D'Ernest Johnson,CLE,9.2,16,0.6
109,Kenjon Barner,FA,9.1,14,0.7
110,Alex Armah,CAR,7.7,16,0.5
111,Troymaine Pope,FA,7.4,14,0.5
112,Spencer Ware,FA,7.3,3,2.4
113,Dwayne Washington,NO,6.6,16,0.4
113,Tra Carson,FA,6.6,4,1.7
113,Devontae Booker,LV,6.6,16,0.4
116,Brandon Wilson,CIN,6,12,0.5
117,Zach Line,FA,5.6,12,0.5
118,Khari Blasingame,TEN,5.4,6,0.9
119,Jonathan Hilliman,FA,5.2,3,1.7
120,Devine Ozigbo,JAC,5,10,0.5
121,Mike Davis,CAR,4.9,11,0.5
121,Taiwan Jones,BUF,4.9,11,0.5
123,Patrick DiMarco,BUF,4.8,16,0.3
124,Elijhaa Penny,NYG,4.8,16,0.3
125,C.J. Anderson,FA,4.3,2,2.2
126,Paul Perkins,FA,3.8,4,1
127,Anthony Sherman,KC,3.1,16,0.2
128,Jay Ajayi,FA,3,4,0.8
129,Dalyn Dawkins,FA,2.6,2,1.3
130,T.J. Logan,TB,2.3,12,0.2
131,Keith Smith,ATL,2.1,16,0.1
131,Tyler Ervin,GB,2.1,10,0.2
133,Nick Bawden,DET,1.7,10,0.2
133,Zach Zenner,FA,1.7,6,0.3
135,Samaje Perine,CIN,1.6,7,0.2
136,Damien Harris,NE,1.2,2,0.6
136,Josh Adams,NYJ,1.2,2,0.6
138,Dexter Williams,GB,1.1,4,0.3
139,Buddy Howell,HOU,1,16,0.1
140,Josh Ferguson,FA,0.9,2,0.5
140,Jordan Scarlett,FA,0.9,9,0.1
140,John Kelly,FA,0.9,5,0.2
143,Ryan Nall,CHI,0.8,8,0.1
143,Ricky Ortiz,FA,0.8,2,0.4
145,Tony Brooks-James,FA,0.7,3,0.2
146,De'Lance Turner,FA,0.6,9,0.1
147,Jakob Johnson,NE,0.5,4,0.1
148,Alfred Morris,FA,0.4,1,0.4
148,Roosevelt Nix,FA,0.4,3,0.1
148,Senorise Perry,TEN,0.4,11,0
151,James Develin,FA,0.3,2,0.2
152,Brandin Bryant,MIA,0,4,0
152,Trayveon Williams,CIN,0,11,0
152,Austin Walter,FA,0,1,0
152,Craig Reynolds,ATL,0,3,0
152,Robert Turbin,FA,0,2,0
152,Lamar Miller,NE,0,1,0
152,Tre Madden,FA,0,1,0
152,Michael Burton,NO,0,11,0
152,Lavon Coleman,FA,0,1,0
152,David Fluellen,FA,0,2,0
152,Chandler Cox,MIA,0,13,0
152,Alex Collins,FA,0,1,0
152,Kenneth Dixon,FA,0,1,0
152,Trenton Cannon,CAR,0,4,0
152,Chris Ivory,FA,0,1,0
152,Jamaal Charles,FA,0,1,0
152,Cameron Artis-Payne,FA,0,1,0
152,Travaris Cadet,FA,0,1,0
152,Justin Davis,FA,0,1,0
152,Jeremy Langford,FA,0,1,0
152,DuJuan Harris,FA,0,1,0
152,Cullen Gillaspia,HOU,0,16,0
152,Rod Smith,FA,0,7,0
152,Joe Williams,FA,0,1,0
152,Mike Gillislee,FA,0,1,0
152,Stevan Ridley,FA,0,1,0
152,Jeremy Hill,FA,0,1,0
152,Jonathan Stewart,FA,0,1,0
152,Jamize Olawale,DAL,0,16,0
152,Jordan Chunn,FA,0,1,0
152,Detrez Newsome,FA,0,1,0
152,LeGarrette Blount,FA,0,1,0
152,D.J. Foster,ARI,0,6,0
152,Derrick Coleman,FA,0,1,0
