"Rank","Player","Team","Points","Games","Avg"
"1","Michael Thomas","NO","225.6","16","14.1"
"2","Chris Godwin","TB","190.1","14","13.6"
"3","Kenny Golladay","DET","183.0","16","11.4"
"4","Cooper Kupp","LAR","176.5","16","11.0"
"5","Julio Jones","ATL","175.1","15","11.7"
"6","DeVante Parker","MIA","174.2","16","10.9"
"7","Amari Cooper","DAL","167.5","16","10.5"
"8","Mike Evans","TB","165.7","13","12.8"
"9","DeAndre Hopkins","ARI","165.5","15","11.0"
"10","A.J. Brown","TEN","165.1","16","10.3"
"11","Keenan Allen","LAC","157.5","16","9.8"
"12","Allen Robinson","CHI","156.9","16","9.8"
"13","Julian Edelman","NE","156.3","16","9.8"
"14","Jarvis Landry","CLE","154.4","16","9.7"
"15","Tyler Lockett","SEA","153.2","16","9.6"
"16","D.J. Chark","JAC","152.8","15","10.2"
"17","Courtland Sutton","DEN","150.4","16","9.4"
"18","Stefon Diggs","BUF","149.1","15","9.9"
"19","John Brown","BUF","147.8","15","9.9"
"20","Michael Gallup","DAL","146.7","14","10.5"
"21","D.J. Moore","CAR","143.5","15","9.6"
"22","Robert Woods","LAR","142.9","15","9.5"
"23","Calvin Ridley","ATL","134.0","13","10.3"
"24","Terry McLaurin","WAS","133.9","14","9.6"
"25","Tyler Boyd","CIN","132.9","16","8.3"
"26","Deebo Samuel","SF","132.1","15","8.8"
"27","Marvin Jones","DET","131.9","13","10.2"
"28","Tyreek Hill","KC","130.3","12","10.9"
"29","Davante Adams","GB","129.7","12","10.8"
"30","D.K. Metcalf","SEA","129.1","16","8.1"
"31","Odell Beckham Jr.","CLE","127.3","16","8.0"
"32","Emmanuel Sanders","NO","124.3","17","7.3"
"33","Darius Slayton","NYG","122.0","14","8.7"
"34","Jamison Crowder","NYJ","119.7","16","7.5"
"35","Cole Beasley","BUF","117.8","15","7.9"
"36","Curtis Samuel","CAR","117.7","16","7.4"
"37","Mike Williams","LAC","112.3","15","7.5"
"38","Robby Anderson","CAR","110.3","16","6.9"
"39","Chris Conley","JAC","109.5","16","6.8"
"40","Diontae Johnson","PIT","104.1","16","6.5"
"41","Golden Tate","NYG","103.2","11","9.4"
"42","Larry Fitzgerald","ARI","102.4","16","6.4"
"43","Breshad Perriman","NYJ","102.1","14","7.3"
"44","Tyrell Williams","LV","101.1","14","7.2"
"45","Marquise Brown","BAL","100.4","14","7.2"
"46","Christian Kirk","ARI","100.2","13","7.7"
"47","Randall Cobb","HOU","99.9","15","6.7"
"48","Zach Pascal","IND","94.3","16","5.9"
"49","Mecole Hardman","KC","93.5","16","5.8"
"50","Dede Westbrook","JAC","90.7","15","6.1"
"51","James Washington","PIT","89.5","15","6.0"
"52","Sammy Watkins","KC","86.5","14","6.2"
"53","Will Fuller","HOU","85.0","11","7.7"
"54","Sterling Shepard","NYG","84.8","10","8.5"
"55","Hunter Renfrow","LV","84.5","13","6.5"
"56","Adam Thielen","MIN","84.4","10","8.4"
"57","Kenny Stills","HOU","80.1","13","6.2"
"58","T.Y. Hilton","IND","80.1","10","8.0"
"59","Alshon Jeffery","PHI","79.2","10","7.9"
"60","Danny Amendola","DET","78.6","15","5.2"
"61","Brandin Cooks","HOU","75.5","14","5.4"
"61","Steven Sims","WAS","75.5","16","4.7"
"61","Anthony Miller","CHI","75.5","16","4.7"
"64","Corey Davis","TEN","72.1","15","4.8"
"65","Phillip Dorsett","SEA","71.8","14","5.1"
"66","JuJu Smith-Schuster","PIT","71.2","12","5.9"
"67","Demarcus Robinson","KC","68.9","16","4.3"
"68","Kendrick Bourne","SF","67.8","16","4.2"
"69","Allen Lazard","GB","67.8","16","4.2"
"70","John Ross","CIN","67.0","8","8.4"
"71","Mohamed Sanu","FA","65.1","15","4.3"
"72","Willie Snead","BAL","64.1","16","4.0"
"73","Auden Tate","CIN","61.5","13","4.7"
"74","Taylor Gabriel","FA","61.3","9","6.8"
"75","Preston Williams","MIA","58.8","8","7.4"
